state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population
Alabama,2021-04-29,2021-04-30,16_54,40.10%,24.60%,597800,
Alabama,2021-04-29,2021-04-30,55_64,20.63%,46.80%,307500,
Alabama,2021-04-29,2021-04-30,65_74,22.41%,66.60%,334100,
Alabama,2021-04-29,2021-04-30,75_100,16.85%,72.10%,251200,
Arizona,2021-04-29,2021-04-30,0_19,,,92443,
Arizona,2021-04-29,2021-04-30,20_44,,,844479,
Arizona,2021-04-29,2021-04-30,45_54,,,397264,
Arizona,2021-04-29,2021-04-30,55_64,,,528728,
Arizona,2021-04-29,2021-04-30,65_100,,,1037517,
Alaska,,2021-04-30,10_19,,,13600,
Alaska,,2021-04-30,20_29,,,37800,
Alaska,,2021-04-30,30_39,,,49700,
Alaska,,2021-04-30,40_49,,,44800,
Alaska,,2021-04-30,50_59,,,51900,
Alaska,,2021-04-30,60_69,,,55800,
Alaska,,2021-04-30,70_79,,,29700,
Alaska,,2021-04-30,80_100,,,10100,
Arkansas,,,,,,,
California,,2021-04-30,0_17,,27.10%,281832,1040606
California,,2021-04-30,18_49,,49.00%,8282230,16895929
California,,2021-04-30,50_64,,67.40%,4882984,7247925
California,,2021-04-30,65_100,,74.10%,4920776,6638152
Colorado,2021-04-28,2021-04-30,0_9,0.00%,,,
Colorado,2021-04-28,2021-04-30,10_19,3.50%,,,
Colorado,2021-04-28,2021-04-30,20_29,12.86%,,,
Colorado,2021-04-28,2021-04-30,30_39,16.39%,,,
Colorado,2021-04-28,2021-04-30,40_49,15.18%,,,
Colorado,2021-04-28,2021-04-30,50_59,16.18%,,,
Colorado,2021-04-28,2021-04-30,60_69,18.15%,,,
Colorado,2021-04-28,2021-04-30,70_79,12.28%,,,
Colorado,2021-04-28,2021-04-30,80_100,5.46%,,,
Connecticut,2021-04-29,2021-04-30,0_15,,0.00%,0,
Connecticut,2021-04-29,2021-04-30,16_24,,37.90%,164000,
Connecticut,2021-04-29,2021-04-30,25_34,,44.30%,198000,
Connecticut,2021-04-29,2021-04-30,35_44,,52.90%,226000,
Connecticut,2021-04-29,2021-04-30,45_54,,62.80%,299000,
Connecticut,2021-04-29,2021-04-30,55_64,,76.70%,394000,
Connecticut,2021-04-29,2021-04-30,65_74,,86.60%,306000,
Connecticut,2021-04-29,2021-04-30,75_100,,84.20%,234000,
Delaware,2021-04-29,2021-04-30,0_4,,0.00%,0,
Delaware,2021-04-29,2021-04-30,5_15,,0.00%,0,
Delaware,2021-04-29,2021-04-30,16_17,,22.50%,5236,
Delaware,2021-04-29,2021-04-30,18_34,,29.00%,61392,
Delaware,2021-04-29,2021-04-30,35_49,,41.20%,69958,
Delaware,2021-04-29,2021-04-30,50_64,,58.80%,116364,
Delaware,2021-04-29,2021-04-30,65_100,,86.70%,151016,
Florida,2021-04-28,2021-04-30,16_24,,,486236,
Florida,2021-04-28,2021-04-30,25_34,,,710165,
Florida,2021-04-28,2021-04-30,35_44,,,918906,
Florida,2021-04-28,2021-04-30,45_54,,,1212407,
Florida,2021-04-28,2021-04-30,55_64,,,1736749,
Florida,2021-04-28,2021-04-30,65_74,,,2077318,
Florida,2021-04-28,2021-04-30,75_84,,,1189903,
Florida,2021-04-28,2021-04-30,85_100,,,408936,
Georgia,2021-04-28,2021-04-30,15_19,2.40%,11.90%,85942,
Georgia,2021-04-28,2021-04-30,20_24,4.70%,23.20%,167023,
Georgia,2021-04-28,2021-04-30,25_34,10.80%,27.20%,385846,
