state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population
Georgia,2021-04-28,2021-04-30,35_44,13.10%,34.20%,469065,
Georgia,2021-04-28,2021-04-30,45_54,16.10%,40.90%,575429,
Georgia,2021-04-28,2021-04-30,55_64,19.50%,56.40%,696691,
Georgia,2021-04-28,2021-04-30,65_74,19.70%,85.50%,703252,
Georgia,2021-04-28,2021-04-30,75_84,10.30%,97.60%,369625,
Georgia,2021-04-28,2021-04-30,85_100,3.40%,92.00%,121550,
Hawaii,2021-04-29,2021-04-30,18_29,,26.00%,,219397
Hawaii,2021-04-29,2021-04-30,30_39,,34.00%,,196808
Hawaii,2021-04-29,2021-04-30,40_49,,47.00%,,166950
Hawaii,2021-04-29,2021-04-30,50_59,,54.00%,,172351
Hawaii,2021-04-29,2021-04-30,60_69,,60.00%,,175883
Hawaii,2021-04-29,2021-04-30,70_100,,70.00%,,184281
Idaho,2021-04-28,2021-04-30,16_24,,22.00%,48745,
Idaho,2021-04-28,2021-04-30,25_34,,27.60%,65789,
Idaho,2021-04-28,2021-04-30,35_44,,35.20%,79895,
Idaho,2021-04-28,2021-04-30,45_54,,41.20%,85128,
Idaho,2021-04-28,2021-04-30,55_64,,50.90%,112780,
Idaho,2021-04-28,2021-04-30,65_74,,71.50%,123873,
Idaho,2021-04-28,2021-04-30,75_84,,75.90%,62959,
Idaho,2021-04-28,2021-04-30,85_100,,69.80%,21162,
Illinois,,2021-04-30,16_64,,,3662935,
Illinois,,2021-04-30,65_100,,,1526084,
Indiana,,2021-04-30,16_19,3.10%,,,
Indiana,,2021-04-30,20_24,5.10%,,,
Indiana,,2021-04-30,25_29,4.50%,,,
Indiana,,2021-04-30,30_34,5.10%,,,
Indiana,,2021-04-30,35_39,5.60%,,,
Indiana,,2021-04-30,40_44,6.20%,,,
Indiana,,2021-04-30,45_49,6.70%,,,
Indiana,,2021-04-30,50_54,7.70%,,,
Indiana,,2021-04-30,55_59,9.30%,,,
Indiana,,2021-04-30,60_64,11.30%,,,
Indiana,,2021-04-30,65_69,11.20%,,,
Indiana,,2021-04-30,70_74,9.50%,,,
Indiana,,2021-04-30,75_79,6.30%,,,
Indiana,,2021-04-30,80_100,8.30%,,,
Iowa,,2021-04-30,0_17,3.74%,,,
Iowa,,2021-04-30,18_29,22.22%,,,
Iowa,,2021-04-30,30_39,16.36%,,,
Iowa,,2021-04-30,50_59,19.08%,,,
Iowa,,2021-04-30,60_69,14.62%,,,
Iowa,,2021-04-30,70_79,4.67%,,,
Kansas,,2021-04-30,0_17,,,13063,
Kansas,,2021-04-30,18_24,,,80721,
Kansas,,2021-04-30,25_34,,,128970,
Kansas,,2021-04-30,35_44,,,152179,
Kansas,,2021-04-30,45_54,,,154784,
Kansas,,2021-04-30,55_64,,,205533,
Kansas,,2021-04-30,65_74,,,216037,
Kansas,,2021-04-30,75_84,,,112015,
Kansas,,2021-04-30,85_100,,,46741,
Kentucky,,2021-04-30,16_19,,,39994,
Kentucky,,2021-04-30,20_29,,,152237,
Kentucky,,2021-04-30,30_39,,,189922,
Kentucky,,2021-04-30,40_49,,,221977,
Kentucky,,2021-04-30,50_59,,,284303,
Kentucky,,2021-04-30,60_69,,,352710,
Kentucky,,2021-04-30,70_100,,,373930,
Louisiana,2021-04-28,2021-04-30,5_17,0.75%,,,
Louisiana,2021-04-28,2021-04-30,18_29,9.38%,,,
Louisiana,2021-04-28,2021-04-30,30_39,11.14%,,,
Louisiana,2021-04-28,2021-04-30,40_49,12.62%,,,
Louisiana,2021-04-28,2021-04-30,50_59,17.73%,,,
Louisiana,2021-04-28,2021-04-30,60_69,23.27%,,,
Louisiana,2021-04-28,2021-04-30,70_100,25.09%,,,
Maine,2021-04-29,2021-04-30,16_19,,,19524,
Maine,2021-04-29,2021-04-30,20_29,,,56565,
Maine,2021-04-29,2021-04-30,30_39,,,69443,
Maine,2021-04-29,2021-04-30,40_49,,,72790,
Maine,2021-04-29,2021-04-30,50_59,,,111141,
Maine,2021-04-29,2021-04-30,60_69,,,142106,
Maine,2021-04-29,2021-04-30,70_79,,,108517,
Maine,2021-04-29,2021-04-30,80_100,,,52617,
Maryland,,2021-04-30,0_9,,,0,
Maryland,,2021-04-30,10_19,,,100871,
Maryland,,2021-04-30,20_29,,,317178,
Maryland,,2021-04-30,30_39,,,408138,
Maryland,,2021-04-30,40_49,,,421859,
Maryland,,2021-04-30,50_59,,,510455,
Maryland,,2021-04-30,60_69,,,529220,
Maryland,,2021-04-30,70_79,,,349575,
Maryland,,2021-04-30,80_100,,,174807,
Massachusetts,2021-04-29,2021-05-04,0_14,0.00%,,0,1126400
Massachusetts,2021-04-29,2021-05-04,15_19,3.00%,,120200,461900
Massachusetts,2021-04-29,2021-05-04,20_29,13.00%,,472400,1026800
Massachusetts,2021-04-29,2021-05-04,30_49,28.00%,,1044100,1756000
Massachusetts,2021-04-29,2021-05-04,50_64,28.00%,,1022700,1417200
Massachusetts,2021-04-29,2021-05-04,65_74,16.00%,,593100,682800
Massachusetts,2021-04-29,2021-05-04,75_100,12.00%,,428800,493300
Michigan,2021-05-03,2021-05-04,16_19,,26.60%,137727,
Michigan,2021-05-03,2021-05-04,20_29,,30.10%,415502,
Michigan,2021-05-03,2021-05-04,30_39,,40.30%,488771,
Michigan,2021-05-03,2021-05-04,40_49,,44.70%,527049,
Michigan,2021-05-03,2021-05-04,50_64,,58.00%,1185010,
Michigan,2021-05-03,2021-05-04,65_74,,75.80%,786859,
Michigan,2021-05-03,2021-05-04,75_100,,73.90%,537612,
Minnesota,2021-05-02,2021-05-04,16_17,,,46698,
Minnesota,2021-05-02,2021-05-04,18_49,,,1090312,
Minnesota,2021-05-02,2021-05-04,50_64,,,703150,
Minnesota,2021-05-02,2021-05-04,65_100,,,748872,
Mississippi,,2021-05-04,16_24,,,53381,
Mississippi,,2021-05-04,25_39,,,122930,
Mississippi,,2021-05-04,40_49,,,120495,
Mississippi,,2021-05-04,50_64,,,279158,
Mississippi,,2021-05-04,65_74,,,202320,
Mississippi,,2021-05-04,75_100,,,135634,
Missouri,2021-05-03,2021-05-04,15_24,,21.70%,172011,
Missouri,2021-05-03,2021-05-04,25_34,,32.60%,269559,
Missouri,2021-05-03,2021-05-04,35_44,,40.90%,308364,
Missouri,2021-05-03,2021-05-04,45_54,,44.40%,325227,
Missouri,2021-05-03,2021-05-04,55_64,,55.10%,458043,
Missouri,2021-05-03,2021-05-04,65_74,,74.70%,455592,
Missouri,2021-05-03,2021-05-04,75_84,,75.80%,241459,
Missouri,2021-05-03,2021-05-04,85_100,,69.00%,92122,
Montana,,,,,,,
Nebraska,,2021-05-04,16_19,,,28618,
Nebraska,,2021-05-04,20_34,,,145612,
Nebraska,,2021-05-04,35_44,,,116058,
Nebraska,,2021-05-04,45_54,,,113122,
Nebraska,,2021-05-04,55_64,,,147917,
Nebraska,,2021-05-04,65_74,,,141316,
Nebraska,,2021-05-04,75_84,,,72156,
Nebraska,,2021-05-04,85_100,,,33432,
Nevada,2021-05-02,2021-05-04,0_9,0.00%,,12,389978
Nevada,2021-05-02,2021-05-04,10_19,3.10%,,35352,429790
Nevada,2021-05-02,2021-05-04,20_29,11.00%,,125374,437588
Nevada,2021-05-02,2021-05-04,30_39,13.50%,,154752,423831
Nevada,2021-05-02,2021-05-04,40_49,15.10%,,172248,414074
Nevada,2021-05-02,2021-05-04,50_59,17.50%,,200524,398817
Nevada,2021-05-02,2021-05-04,60_69,18.90%,,215566,345779
Nevada,2021-05-02,2021-05-04,70_100,20.90%,,238861,309377
New Hampshire,,,,,,,
Wyoming,2021-05-03,2021-05-04,0_100,,25.90%,,
Wyoming,2021-05-03,2021-05-04,18_100,,33.40%,,
Wyoming,2021-05-03,2021-05-04,65_100,,56.00%,,
Puerto Rico,,2021-05-04,15_19,,,32349,
Puerto Rico,,2021-05-04,20_29,,,121965,
Puerto Rico,,2021-05-04,30_39,,,133089,
Puerto Rico,,2021-05-04,40_49,,,169268,
Puerto Rico,,2021-05-04,50_59,,,193347,
Puerto Rico,,2021-05-04,60_69,,,198935,
Puerto Rico,,2021-05-04,70_79,,,164187,
Puerto Rico,,2021-05-04,80_100,,,80999,
