state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population
North Dakota,3/7/2021,6/4/2021,19_29,,13%,,
North Dakota,3/7/2021,6/4/2021,30_39,,19%,,
North Dakota,3/7/2021,6/4/2021,40_49,,25%,,
North Dakota,3/7/2021,6/4/2021,50_59,,31%,,
North Dakota,3/7/2021,6/4/2021,60_69,,50%,,
North Dakota,3/7/2021,6/4/2021,70_79,,65%,,
North Dakota,3/7/2021,6/4/2021,80_100,,72%,,
North Dakota,2/28/2021,6/4/2021,12_18,,1%,,
North Dakota,2/28/2021,6/4/2021,19_29,,10%,,
North Dakota,2/28/2021,6/4/2021,30_39,,14%,,
North Dakota,2/28/2021,6/4/2021,40_49,,19%,,
North Dakota,2/28/2021,6/4/2021,50_59,,24%,,
North Dakota,2/28/2021,6/4/2021,60_69,,44%,,
North Dakota,2/28/2021,6/4/2021,70_79,,63%,,
North Dakota,2/28/2021,6/4/2021,80_100,,71%,,
North Dakota,2/21/2021,6/4/2021,12_18,,1%,,
North Dakota,2/21/2021,6/4/2021,19_29,,8%,,
North Dakota,2/21/2021,6/4/2021,30_39,,12%,,
North Dakota,2/21/2021,6/4/2021,40_49,,15%,,
North Dakota,2/21/2021,6/4/2021,50_59,,18%,,
North Dakota,2/21/2021,6/4/2021,60_69,,35%,,
North Dakota,2/21/2021,6/4/2021,70_79,,60%,,
North Dakota,2/21/2021,6/4/2021,80_100,,70%,,
North Dakota,2/14/2021,6/4/2021,12_18,,1%,,
North Dakota,2/14/2021,6/4/2021,19_29,,7%,,
North Dakota,2/14/2021,6/4/2021,30_39,,10%,,
North Dakota,2/14/2021,6/4/2021,40_49,,12%,,
North Dakota,2/14/2021,6/4/2021,50_59,,14%,,
North Dakota,2/14/2021,6/4/2021,60_69,,26%,,
North Dakota,2/14/2021,6/4/2021,70_79,,52%,,
North Dakota,2/14/2021,6/4/2021,80_100,,67%,,
North Dakota,2/7/2021,6/4/2021,12_18,,1%,,
North Dakota,2/7/2021,6/4/2021,19_29,,7%,,
North Dakota,2/7/2021,6/4/2021,30_39,,9%,,
North Dakota,2/7/2021,6/4/2021,40_49,,12%,,
North Dakota,2/7/2021,6/4/2021,50_59,,13%,,
North Dakota,2/7/2021,6/4/2021,60_69,,21%,,
North Dakota,2/7/2021,6/4/2021,70_79,,45%,,
North Dakota,2/7/2021,6/4/2021,80_100,,65%,,
North Dakota,1/31/2021,6/4/2021,12_18,,1%,,
North Dakota,1/31/2021,6/4/2021,19_29,,6%,,
North Dakota,1/31/2021,6/4/2021,30_39,,9%,,
North Dakota,1/31/2021,6/4/2021,40_49,,11%,,
North Dakota,1/31/2021,6/4/2021,50_59,,12%,,
North Dakota,1/31/2021,6/4/2021,60_69,,16%,,
North Dakota,1/31/2021,6/4/2021,70_79,,36%,,
North Dakota,1/31/2021,6/4/2021,80_100,,60%,,
North Dakota,1/24/2021,6/4/2021,12_18,,0%,,
North Dakota,1/24/2021,6/4/2021,19_29,,6%,,
North Dakota,1/24/2021,6/4/2021,30_39,,8%,,
North Dakota,1/24/2021,6/4/2021,40_49,,10%,,
North Dakota,1/24/2021,6/4/2021,50_59,,11%,,
North Dakota,1/24/2021,6/4/2021,60_69,,11%,,
North Dakota,1/24/2021,6/4/2021,70_79,,25%,,
North Dakota,1/24/2021,6/4/2021,80_100,,52%,,
North Dakota,1/17/2021,6/4/2021,12_18,,0%,,
North Dakota,1/17/2021,6/4/2021,19_29,,5%,,
North Dakota,1/17/2021,6/4/2021,30_39,,8%,,
North Dakota,1/17/2021,6/4/2021,40_49,,9%,,
North Dakota,1/17/2021,6/4/2021,50_59,,10%,,
North Dakota,1/17/2021,6/4/2021,60_69,,9%,,
North Dakota,1/17/2021,6/4/2021,70_79,,15%,,
North Dakota,1/17/2021,6/4/2021,80_100,,39%,,
North Dakota,1/10/2021,6/4/2021,12_18,,0%,,
North Dakota,1/10/2021,6/4/2021,19_29,,5%,,
North Dakota,1/10/2021,6/4/2021,30_39,,7%,,
North Dakota,1/10/2021,6/4/2021,40_49,,9%,,
North Dakota,1/10/2021,6/4/2021,50_59,,9%,,
North Dakota,1/10/2021,6/4/2021,60_69,,7%,,
North Dakota,1/10/2021,6/4/2021,70_79,,9%,,
North Dakota,1/10/2021,6/4/2021,80_100,,26%,,
North Dakota,1/3/2021,6/4/2021,12_18,,0%,,
North Dakota,1/3/2021,6/4/2021,19_29,,4%,,
North Dakota,1/3/2021,6/4/2021,30_39,,6%,,
North Dakota,1/3/2021,6/4/2021,40_49,,7%,,
North Dakota,1/3/2021,6/4/2021,50_59,,7%,,
North Dakota,1/3/2021,6/4/2021,60_69,,6%,,
North Dakota,1/3/2021,6/4/2021,70_79,,4%,,
North Dakota,1/3/2021,6/4/2021,80_100,,15%,,
North Dakota,12/27/2020,6/4/2021,12_18,,0%,,
North Dakota,12/27/2020,6/4/2021,19_29,,3%,,
North Dakota,12/27/2020,6/4/2021,30_39,,4%,,
North Dakota,12/27/2020,6/4/2021,40_49,,5%,,
North Dakota,12/27/2020,6/4/2021,50_59,,5%,,
North Dakota,12/27/2020,6/4/2021,60_69,,4%,,
North Dakota,12/27/2020,6/4/2021,70_79,,2%,,
North Dakota,12/27/2020,6/4/2021,80_100,,7%,,
North Dakota,12/20/2020,6/4/2021,12_18,,0%,,
North Dakota,12/20/2020,6/4/2021,19_29,,2%,,
North Dakota,12/20/2020,6/4/2021,30_39,,3%,,
North Dakota,12/20/2020,6/4/2021,40_49,,3%,,
North Dakota,12/20/2020,6/4/2021,50_59,,3%,,
North Dakota,12/20/2020,6/4/2021,60_69,,2%,,
North Dakota,12/20/2020,6/4/2021,70_79,,0%,,
North Dakota,12/20/2020,6/4/2021,80_100,,0%,,
