state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population,
Hawaii,3/24/2021,3/25/2021,0_59,50.00%,,,,
Hawaii,3/24/2021,3/25/2021,60_100,50.00%,,,,
Idaho,,3/25/2021,16_24,,7.00%,15530,,
Idaho,,3/25/2021,25_34,,14.20%,33879,,
Idaho,,3/25/2021,35_44,,19.70%,44684,,
Idaho,,3/25/2021,45_54,,22.90%,47365,,
Idaho,,3/25/2021,55_64,,34.30%,75967,,
Idaho,,3/25/2021,65_74,,64.40%,111539,,
Idaho,,3/25/2021,75_84,,69.70%,57853,,
Idaho,,3/25/2021,85_100,,65.10%,19738,,
Illinois,3/25/2021,3/25/2021,16_64,,,1927828,,
Illinois,3/25/2021,3/25/2021,65_100,,,1305085,,
Indiana,3/24/2021,3/25/2021,16_19,0.40%,,,,
Indiana,3/24/2021,3/25/2021,20_24,2.00%,,,,
Indiana,3/24/2021,3/25/2021,24_29,2.50%,,,,
Indiana,3/24/2021,3/25/2021,30_34,2.80%,,,,
Indiana,3/24/2021,3/25/2021,35_39,3.30%,,,,
Indiana,3/24/2021,3/25/2021,40_44,3.90%,,,,
Indiana,3/24/2021,3/25/2021,45_49,5.40%,,,,
Indiana,3/24/2021,3/25/2021,50_54,7.10%,,,,
Indiana,3/24/2021,3/25/2021,55_59,9.60%,,,,
Indiana,3/24/2021,3/25/2021,60_64,13.50%,,,,
Indiana,3/24/2021,3/25/2021,65_69,15.10%,,,,
Indiana,3/24/2021,3/25/2021,70_74,13.50%,,,,
Indiana,3/24/2021,3/25/2021,75_79,9.00%,,,,
Indiana,3/24/2021,3/25/2021,80_100,12.00%,,,,
Iowa,,3/25/2021,0_17,0.44%,,,,
Iowa,,3/25/2021,18_29,8.65%,,,,
Iowa,,3/25/2021,30_39,11.34%,,,,
Iowa,,3/25/2021,40_49,12.43%,,,,
Iowa,,3/25/2021,50_59,19.08%,,,,
Iowa,,3/25/2021,60_69,28.08%,,,,
Iowa,,3/25/2021,70_79,13.58%,,,,
Iowa,,3/25/2021,80_100,6.40%,,,,
Kansas,3/24/2021,3/25/2021,0_17,,,1699,,
Kansas,3/24/2021,3/25/2021,18_24,,,31682,,
Kansas,3/24/2021,3/25/2021,25_34,,,67262,,
Kansas,3/24/2021,3/25/2021,35_44,,,80833,,
Kansas,3/24/2021,3/25/2021,45_54,,,81216,,
Kansas,3/24/2021,3/25/2021,55_64,,,109232,,
Kansas,3/24/2021,3/25/2021,65_74,,,185846,,
Kansas,3/24/2021,3/25/2021,75_84,,,104503,,
Kansas,3/24/2021,3/25/2021,85_100,,,44020,,
Kentucky,3/22/2021,3/25/2021,19_19,,,9780,,
Kentucky,3/22/2021,3/25/2021,20_29,,,81576,,
Kentucky,3/22/2021,3/25/2021,30_39,,,116488,,
Kentucky,3/22/2021,3/25/2021,40_49,,,136390,,
Kentucky,3/22/2021,3/25/2021,50_59,,,169196,,
Kentucky,3/22/2021,3/25/2021,60_69,,,262740,,
Kentucky,3/22/2021,3/25/2021,70_100,,,329689,,
Louisiana,,3/25/2021,5_17,0.19%,,,,
Louisiana,,3/25/2021,18_29,6.29%,,,,
Louisiana,,3/25/2021,30_39,9.30%,,,,
Louisiana,,3/25/2021,40_49,10.87%,,,,
Louisiana,,3/25/2021,50_59,16.66%,,,,
Louisiana,,3/25/2021,60_69,25.60%,,,,
Louisiana,,3/25/2021,70_100,31.07%,,,,
Maine,3/24/2021,3/25/2021,15_19,,,1625,,
Maine,3/24/2021,3/25/2021,20_29,,,19556,,
